 ,r,g,b
0,0.4509803922,0.3215686275,0.2666666667
1,0.7607843137,0.5882352941,0.5098039216
2,0.3843137255,0.4784313725,0.6156862745
3,0.3411764706,0.4235294118,0.262745098
4,0.5215686275,0.5019607843,0.6941176471
5,0.4039215686,0.7411764706,0.6666666667
6,0.8392156863,0.4941176471,0.1725490196
7,0.3137254902,0.3568627451,0.6509803922
8,0.7568627451,0.3529411765,0.3882352941
9,0.368627451,0.2352941176,0.4235294118
10,0.6156862745,0.737254902,0.2509803922
11,0.8784313725,0.6392156863,0.1803921569
12,0.2196078431,0.2392156863,0.5882352941
13,0.2745098039,0.5803921569,0.2862745098
14,0.6862745098,0.2117647059,0.2352941176
15,0.9058823529,0.7803921569,0.1215686275
16,0.7333333333,0.337254902,0.5843137255
17,0.031372549,0.5215686275,0.631372549
18,0.9529411765,0.9529411765,0.9490196078
19,0.7843137255,0.7843137255,0.7843137255
20,0.6274509804,0.6274509804,0.6274509804
21,0.4784313725,0.4784313725,0.4745098039
22,0.3333333333,0.3333333333,0.3333333333
23,0.2039215686,0.2039215686,0.2039215686
